No.      Name @0.00K, 1.00atm, sclZPE= 1.0000, ilowfreq= 0       Gcorr[au]       Hcorr[au]       Ucorr[au]       ZPE[au]        
1        rotation_std1                                           0.072805        0.072805        0.072805        0.072805       
2        rotation_std10                                          0.072677        0.072677        0.072677        0.072677       
3        rotation_std11                                          0.072741        0.072741        0.072741        0.072741       
4        rotation_std12                                          0.072770        0.072770        0.072770        0.072770       
5        rotation_std13                                          0.072790        0.072790        0.072790        0.072790       
6        rotation_std14                                          0.072809        0.072809        0.072809        0.072809       
7        rotation_std15                                          0.072778        0.072778        0.072778        0.072778       
8        rotation_std16                                          0.072600        0.072600        0.072600        0.072600       
9        rotation_std17                                          0.072672        0.072672        0.072672        0.072672       
10       rotation_std18                                          0.072735        0.072735        0.072735        0.072735       
11       rotation_std19                                          0.072760        0.072760        0.072760        0.072760       
12       rotation_std2                                           0.072811        0.072811        0.072811        0.072811       
13       rotation_std20                                          0.072736        0.072736        0.072736        0.072736       
14       rotation_std21                                          0.072676        0.072676        0.072676        0.072676       
15       rotation_std22                                          0.072596        0.072596        0.072596        0.072596       
16       rotation_std23                                          0.072779        0.072779        0.072779        0.072779       
17       rotation_std24                                          0.072807        0.072807        0.072807        0.072807       
18       rotation_std25                                          0.072796        0.072796        0.072796        0.072796       
19       rotation_std26                                          0.072774        0.072774        0.072774        0.072774       
20       rotation_std27                                          0.072739        0.072739        0.072739        0.072739       
21       rotation_std28                                          0.072674        0.072674        0.072674        0.072674       
22       rotation_std29                                          0.072535        0.072535        0.072535        0.072535       
23       rotation_std3                                           0.072788        0.072788        0.072788        0.072788       
24       rotation_std30                                          0.072580        0.072580        0.072580        0.072580       
25       rotation_std31                                          0.072613        0.072613        0.072613        0.072613       
26       rotation_std32                                          0.072629        0.072629        0.072629        0.072629       
27       rotation_std33                                          0.072618        0.072618        0.072618        0.072618       
28       rotation_std34                                          0.072692        0.072692        0.072692        0.072692       
29       rotation_std35                                          0.072790        0.072790        0.072790        0.072790       
30       rotation_std36                                          0.072811        0.072811        0.072811        0.072811       
31       rotation_std37                                          0.072819        0.072819        0.072819        0.072819       
32       rotation_std4                                           0.072700        0.072700        0.072700        0.072700       
33       rotation_std5                                           0.072619        0.072619        0.072619        0.072619       
34       rotation_std6                                           0.072625        0.072625        0.072625        0.072625       
35       rotation_std7                                           0.072618        0.072618        0.072618        0.072618       
36       rotation_std8                                           0.072587        0.072587        0.072587        0.072587       
37       rotation_std9                                           0.072544        0.072544        0.072544        0.072544       
