No.      Name                           SPE[au]                       
1        rotation_std1                  -254.280889338                
2        rotation_std10                 -254.279771994                
3        rotation_std11                 -254.280795182                
4        rotation_std12                 -254.281187766                
5        rotation_std13                 -254.280728454                
6        rotation_std14                 -254.279375426                
7        rotation_std15                 -254.277271977                
8        rotation_std16                 -254.274758288                
9        rotation_std17                 -254.272347114                
10       rotation_std18                 -254.270600841                
11       rotation_std19                 -254.269957021                
12       rotation_std2                  -254.280644804                
13       rotation_std20                 -254.270582140                
14       rotation_std21                 -254.272314028                
15       rotation_std22                 -254.274719403                
16       rotation_std23                 -254.277235427                
17       rotation_std24                 -254.279348320                
18       rotation_std25                 -254.280714304                
19       rotation_std26                 -254.281187365                
20       rotation_std27                 -254.280806694                
21       rotation_std28                 -254.279790444                
22       rotation_std29                 -254.278503814                
23       rotation_std3                  -254.279932837                
24       rotation_std30                 -254.277387527                
25       rotation_std31                 -254.276825325                
26       rotation_std32                 -254.276989958                
27       rotation_std33                 -254.277776512                
28       rotation_std34                 -254.278873584                
29       rotation_std35                 -254.279919063                
30       rotation_std36                 -254.280637303                
31       rotation_std37                 -254.280889947                
32       rotation_std4                  -254.278890593                
33       rotation_std5                  -254.277791601                
34       rotation_std6                  -254.276997935                
35       rotation_std7                  -254.276821931                
36       rotation_std8                  -254.277373822                
37       rotation_std9                  -254.278484088                
