No.      Name                           Gcorr[au]       Hcorr[au]       Ucorr[au]       ZPE[au]        
1        rotation_std1                  0.045286        0.078741        0.077797        0.072805       
2        rotation_std10                 0.044957        0.078565        0.077620        0.072677       
3        rotation_std11                 0.045294        0.078571        0.077627        0.072741       
4        rotation_std12                 0.045407        0.078579        0.077634        0.072770       
5        rotation_std13                 0.045454        0.078592        0.077648        0.072790       
6        rotation_std14                 0.045460        0.078616        0.077672        0.072809       
7        rotation_std15                 0.045255        0.078644        0.077700        0.072778       
8        rotation_std16                 0.045902        0.077742        0.076798        0.072600       
9        rotation_std17                 0.045982        0.077802        0.076858        0.072672       
10       rotation_std18                 0.046053        0.077853        0.076909        0.072735       
11       rotation_std19                 0.046083        0.077871        0.076927        0.072760       
12       rotation_std2                  0.045287        0.078743        0.077799        0.072811       
13       rotation_std20                 0.046058        0.077850        0.076906        0.072736       
14       rotation_std21                 0.045986        0.077805        0.076861        0.072676       
15       rotation_std22                 0.045895        0.077741        0.076797        0.072596       
16       rotation_std23                 0.045254        0.078645        0.077701        0.072779       
17       rotation_std24                 0.045456        0.078615        0.077671        0.072807       
18       rotation_std25                 0.045470        0.078593        0.077649        0.072796       
19       rotation_std26                 0.045416        0.078580        0.077636        0.072774       
20       rotation_std27                 0.045293        0.078569        0.077625        0.072739       
21       rotation_std28                 0.044955        0.078564        0.077620        0.072674       
22       rotation_std29                 0.045882        0.077629        0.076685        0.072535       
23       rotation_std3                  0.045169        0.078728        0.077784        0.072788       
24       rotation_std30                 0.045955        0.077654        0.076710        0.072580       
25       rotation_std31                 0.046007        0.077681        0.076737        0.072613       
26       rotation_std32                 0.046022        0.077712        0.076768        0.072629       
27       rotation_std33                 0.045988        0.077737        0.076793        0.072618       
28       rotation_std34                 0.044433        0.078705        0.077761        0.072692       
29       rotation_std35                 0.045169        0.078730        0.077786        0.072790       
30       rotation_std36                 0.045289        0.078742        0.077798        0.072811       
31       rotation_std37                 0.045313        0.078748        0.077803        0.072819       
32       rotation_std4                  0.044467        0.078709        0.077765        0.072700       
33       rotation_std5                  0.045988        0.077738        0.076794        0.072619       
34       rotation_std6                  0.046014        0.077711        0.076767        0.072625       
35       rotation_std7                  0.046012        0.077686        0.076742        0.072618       
36       rotation_std8                  0.045965        0.077659        0.076715        0.072587       
37       rotation_std9                  0.045895        0.077635        0.076691        0.072544       
