No.,Name,SPE[au],Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],U0,dihedral
1,rotation_std1,-254.2808893,0.045286,0.078741,0.077797,0.072805,-254.2080843,-180
12,rotation_std2,-254.2806448,0.045287,0.078743,0.077799,0.072811,-254.2078338,-170
23,rotation_std3,-254.2799328,0.045169,0.078728,0.077784,0.072788,-254.2071448,-160
32,rotation_std4,-254.2788906,0.044467,0.078709,0.077765,0.0727,-254.2061906,-150
33,rotation_std5,-254.2777916,0.045988,0.077738,0.076794,0.072619,-254.2051726,-140
34,rotation_std6,-254.2769979,0.046014,0.077711,0.076767,0.072625,-254.2043729,-130
35,rotation_std7,-254.2768219,0.046012,0.077686,0.076742,0.072618,-254.2042039,-120
36,rotation_std8,-254.2773738,0.045965,0.077659,0.076715,0.072587,-254.2047868,-110
37,rotation_std9,-254.2784841,0.045895,0.077635,0.076691,0.072544,-254.2059401,-100
2,rotation_std10,-254.279772,0.044957,0.078565,0.07762,0.072677,-254.207095,-90
3,rotation_std11,-254.2807952,0.045294,0.078571,0.077627,0.072741,-254.2080542,-80
4,rotation_std12,-254.2811878,0.045407,0.078579,0.077634,0.07277,-254.2084178,-70
5,rotation_std13,-254.2807285,0.045454,0.078592,0.077648,0.07279,-254.2079385,-60
6,rotation_std14,-254.2793754,0.04546,0.078616,0.077672,0.072809,-254.2065664,-50
7,rotation_std15,-254.277272,0.045255,0.078644,0.0777,0.072778,-254.204494,-40
8,rotation_std16,-254.2747583,0.045902,0.077742,0.076798,0.0726,-254.2021583,-30
9,rotation_std17,-254.2723471,0.045982,0.077802,0.076858,0.072672,-254.1996751,-20
10,rotation_std18,-254.2706008,0.046053,0.077853,0.076909,0.072735,-254.1978658,-10
11,rotation_std19,-254.269957,0.046083,0.077871,0.076927,0.07276,-254.197197,0
13,rotation_std20,-254.2705821,0.046058,0.07785,0.076906,0.072736,-254.1978461,10
14,rotation_std21,-254.272314,0.045986,0.077805,0.076861,0.072676,-254.199638,20
15,rotation_std22,-254.2747194,0.045895,0.077741,0.076797,0.072596,-254.2021234,30
16,rotation_std23,-254.2772354,0.045254,0.078645,0.077701,0.072779,-254.2044564,40
17,rotation_std24,-254.2793483,0.045456,0.078615,0.077671,0.072807,-254.2065413,50
18,rotation_std25,-254.2807143,0.04547,0.078593,0.077649,0.072796,-254.2079183,60
19,rotation_std26,-254.2811874,0.045416,0.07858,0.077636,0.072774,-254.2084134,70
20,rotation_std27,-254.2808067,0.045293,0.078569,0.077625,0.072739,-254.2080677,80
21,rotation_std28,-254.2797904,0.044955,0.078564,0.07762,0.072674,-254.2071164,90
22,rotation_std29,-254.2785038,0.045882,0.077629,0.076685,0.072535,-254.2059688,100
24,rotation_std30,-254.2773875,0.045955,0.077654,0.07671,0.07258,-254.2048075,110
25,rotation_std31,-254.2768253,0.046007,0.077681,0.076737,0.072613,-254.2042123,120
26,rotation_std32,-254.27699,0.046022,0.077712,0.076768,0.072629,-254.204361,130
27,rotation_std33,-254.2777765,0.045988,0.077737,0.076793,0.072618,-254.2051585,140
28,rotation_std34,-254.2788736,0.044433,0.078705,0.077761,0.072692,-254.2061816,150
29,rotation_std35,-254.2799191,0.045169,0.07873,0.077786,0.07279,-254.2071291,160
30,rotation_std36,-254.2806373,0.045289,0.078742,0.077798,0.072811,-254.2078263,170
31,rotation_std37,-254.2808899,0.045313,0.078748,0.077803,0.072819,-254.2080709,180
