Epoch,Training Loss,Val Loss
1,0.6946,0.6931
2,0.6931,0.6931
3,0.6931,0.6931
4,0.6931,0.6931
5,0.6931,0.6931
6,0.6931,0.6931
7,0.6931,0.6931
8,0.6931,0.6931
9,0.6931,0.6931
10,0.6931,0.6931
11,0.6931,0.6931
12,0.6931,0.6931
13,0.6931,0.6931
14,0.6931,0.6931
15,0.6931,0.6931
16,0.6931,0.6931
17,0.6931,0.6931
18,0.6931,0.6931
19,0.6931,0.6931
20,0.6931,0.6931
21,0.6931,0.6931
22,0.6931,0.6931
23,0.6931,0.6931
24,0.6931,0.6931
25,0.6931,0.6931
26,0.6931,0.6931
27,0.6931,0.6931
28,0.6931,0.6931
29,0.6931,0.6931
30,0.6931,0.6931
31,0.6931,0.6931
32,0.6931,0.6931
33,0.6931,0.6931
34,0.6931,0.6931
35,0.6931,0.6931
36,0.6931,0.6931
37,0.6931,0.6931
38,0.6931,0.6931
39,0.6931,0.6931
40,0.6931,0.6931
41,0.6931,0.6931
42,0.6931,0.6931
43,0.6931,0.6931
44,0.6931,0.6931
45,0.6931,0.6931
46,0.6931,0.6931
47,0.6931,0.6931
48,0.6931,0.6931
49,0.6931,0.6931
50,0.6931,0.6931
