,0
SM-GE4R1_S041_E1-50,SM-GE4R1_S041_E1-50
SM-GE4R1_S042_E1-50,SM-GE4R1_S042_E1-50
SM-GE4R1_S043_E1-50,SM-GE4R1_S043_E1-50
SM-GE4R1_S044_E1-50,SM-GE4R1_S044_E1-50
SM-GE4R1_S045_E1-50,SM-GE4R1_S045_E1-50
SM-GE4R1_S046_E1-50,SM-GE4R1_S046_E1-50
SM-GE4R1_S047_E1-50,SM-GE4R1_S047_E1-50
SM-GE4R1_S048_E1-50,SM-GE4R1_S048_E1-50
SM-GE4R1_S049_E1-50,SM-GE4R1_S049_E1-50
SM-GE4R1_S050_E1-50,SM-GE4R1_S050_E1-50
SM-GE4R1_S051_E1-50,SM-GE4R1_S051_E1-50
SM-GE4R1_S052_E1-50,SM-GE4R1_S052_E1-50
SM-GE4R1_S053_E1-50,SM-GE4R1_S053_E1-50
SM-GE4R1_S054_E1-50,SM-GE4R1_S054_E1-50
SM-GE4R1_S055_E1-50,SM-GE4R1_S055_E1-50
SM-GE4R1_S056_E1-50,SM-GE4R1_S056_E1-50
SM-GE4R1_S057_E1-50,SM-GE4R1_S057_E1-50
SM-GE4R1_S059_E1-50,SM-GE4R1_S059_E1-50
SM-GE4R1_S060_E1-50,SM-GE4R1_S060_E1-50
SM-GE4R1_S061_E1-50,SM-GE4R1_S061_E1-50
SM-GE4R1_S062_E1-50,SM-GE4R1_S062_E1-50
SM-GE4R1_S063_E1-50,SM-GE4R1_S063_E1-50
SM-GE4R1_S064_E1-50,SM-GE4R1_S064_E1-50
SM-GE4R1_S065_E1-50,SM-GE4R1_S065_E1-50
SM-GE4R1_S066_E1-50,SM-GE4R1_S066_E1-50
SM-GE4R1_S067_E1-50,SM-GE4R1_S067_E1-50
SM-GE4R1_S068_E1-50,SM-GE4R1_S068_E1-50
SM-GE4R1_S069_E1-50,SM-GE4R1_S069_E1-50
SM-GE4R1_S070_E1-50,SM-GE4R1_S070_E1-50
SM-GE4R1_S071_E1-50,SM-GE4R1_S071_E1-50
SM-GE4R1_S072_E1-50,SM-GE4R1_S072_E1-50
SM-GE4R1_S073_E1-50,SM-GE4R1_S073_E1-50
SM-GE4R1_S074_E1-50,SM-GE4R1_S074_E1-50
SM-GE4R1_S075_E1-50,SM-GE4R1_S075_E1-50
SM-GE4R1_S076_E1-50,SM-GE4R1_S076_E1-50
SM-GE4R1_S077_E1-50,SM-GE4R1_S077_E1-50
SM-GE4R1_S078_E1-50,SM-GE4R1_S078_E1-50
SM-GE4R1_S079_E1-50,SM-GE4R1_S079_E1-50
SM-GE4R1_S080_E1-50,SM-GE4R1_S080_E1-50
SM-GE4R1_S081_E1-50,SM-GE4R1_S081_E1-50
SM-GE4R1_S082_E1-50,SM-GE4R1_S082_E1-50
SM-GE4R1_S083_E1-50,SM-GE4R1_S083_E1-50
SM-GE4R1_S084_E1-50,SM-GE4R1_S084_E1-50
SM-GE4R1_S085_E1-50,SM-GE4R1_S085_E1-50
SM-GE4R1_S086_E1-50,SM-GE4R1_S086_E1-50
SM-GE4R1_S087_E1-50,SM-GE4R1_S087_E1-50
SM-GE4R1_S088_E1-50,SM-GE4R1_S088_E1-50
SM-GE4R1_S145_E1-50,SM-GE4R1_S145_E1-50
SM-GE4R1_S146_E1-50,SM-GE4R1_S146_E1-50
SM-GE4R1_S147_E1-50,SM-GE4R1_S147_E1-50
SM-GE4R1_S148_E1-50,SM-GE4R1_S148_E1-50
SM-GE4R1_S149_E1-50,SM-GE4R1_S149_E1-50
SM-GE4R1_S150_E1-50,SM-GE4R1_S150_E1-50
SM-GE4R1_S151_E1-50,SM-GE4R1_S151_E1-50
SM-GE4R1_S152_E1-50,SM-GE4R1_S152_E1-50
SM-GE4R1_S153_E1-50,SM-GE4R1_S153_E1-50
SM-GE4R1_S154_E1-50,SM-GE4R1_S154_E1-50
SM-GE4R1_S157_E1-50,SM-GE4R1_S157_E1-50
SM-GE4R1_S158_E1-50,SM-GE4R1_S158_E1-50
SM-GE4R1_S159_E1-50,SM-GE4R1_S159_E1-50
SM-GE4R1_S160_E1-50,SM-GE4R1_S160_E1-50
SM-GE4R1_S161_E1-50,SM-GE4R1_S161_E1-50
SM-GE4R1_S162_E1-50,SM-GE4R1_S162_E1-50
SM-GE4R1_S163_E1-50,SM-GE4R1_S163_E1-50
SM-GE4R1_S165_E1-50,SM-GE4R1_S165_E1-50
SM-GE4R1_S166_E1-50,SM-GE4R1_S166_E1-50
SM-GE4R1_S167_E1-50,SM-GE4R1_S167_E1-50
SM-GE4R1_S168_E1-50,SM-GE4R1_S168_E1-50
SM-GE4R1_S169_E1-50,SM-GE4R1_S169_E1-50
SM-GE4R1_S170_E1-50,SM-GE4R1_S170_E1-50
SM-GE4R1_S171_E1-50,SM-GE4R1_S171_E1-50
SM-GE4R1_S172_E1-50,SM-GE4R1_S172_E1-50
SM-GE4R1_S173_E1-50,SM-GE4R1_S173_E1-50
SM-GE4R1_S174_E1-50,SM-GE4R1_S174_E1-50
SM-GE4R1_S175_E1-50,SM-GE4R1_S175_E1-50
SM-GE4R1_S176_E1-50,SM-GE4R1_S176_E1-50
SM-GE4R1_S177_E1-50,SM-GE4R1_S177_E1-50
SM-GE4R1_S178_E1-50,SM-GE4R1_S178_E1-50
SM-GE4R1_S179_E1-50,SM-GE4R1_S179_E1-50
SM-GE4R1_S181_E1-50,SM-GE4R1_S181_E1-50
SM-GE4R1_S182_E1-50,SM-GE4R1_S182_E1-50
SM-GE4R1_S183_E1-50,SM-GE4R1_S183_E1-50
SM-GE4R1_S184_E1-50,SM-GE4R1_S184_E1-50
SM-GE4R1_S185_E1-50,SM-GE4R1_S185_E1-50
SM-GE4R1_S186_E1-50,SM-GE4R1_S186_E1-50
SM-GE4R1_S187_E1-50,SM-GE4R1_S187_E1-50
SM-GE4R1_S188_E1-50,SM-GE4R1_S188_E1-50
SM-GE4R1_S189_E1-50,SM-GE4R1_S189_E1-50
SM-GE4R1_S190_E1-50,SM-GE4R1_S190_E1-50
SM-GE4R1_S191_E1-50,SM-GE4R1_S191_E1-50
SM-GE4R1_S192_E1-50,SM-GE4R1_S192_E1-50
SM-GE4R1_S249_E1-50,SM-GE4R1_S249_E1-50
SM-GE4R1_S250_E1-50,SM-GE4R1_S250_E1-50
SM-GE4R1_S251_E1-50,SM-GE4R1_S251_E1-50
SM-GE4R1_S252_E1-50,SM-GE4R1_S252_E1-50
SM-GE4R1_S253_E1-50,SM-GE4R1_S253_E1-50
SM-GE4R1_S254_E1-50,SM-GE4R1_S254_E1-50
SM-GE4R1_S255_E1-50,SM-GE4R1_S255_E1-50
SM-GE4R1_S256_E1-50,SM-GE4R1_S256_E1-50
SM-GE4R1_S257_E1-50,SM-GE4R1_S257_E1-50
SM-GE4R1_S258_E1-50,SM-GE4R1_S258_E1-50
SM-GE4R1_S259_E1-50,SM-GE4R1_S259_E1-50
SM-GE4R1_S260_E1-50,SM-GE4R1_S260_E1-50
SM-GE4R1_S261_E1-50,SM-GE4R1_S261_E1-50
SM-GE4R1_S262_E1-50,SM-GE4R1_S262_E1-50
SM-GE4R1_S263_E1-50,SM-GE4R1_S263_E1-50
SM-GE4R1_S264_E1-50,SM-GE4R1_S264_E1-50
SM-GE4R1_S265_E1-50,SM-GE4R1_S265_E1-50
SM-GE4R1_S267_E1-50,SM-GE4R1_S267_E1-50
SM-GE4R1_S268_E1-50,SM-GE4R1_S268_E1-50
SM-GE4R1_S269_E1-50,SM-GE4R1_S269_E1-50
SM-GE4R1_S270_E1-50,SM-GE4R1_S270_E1-50
SM-GE4R1_S271_E1-50,SM-GE4R1_S271_E1-50
SM-GE4R1_S272_E1-50,SM-GE4R1_S272_E1-50
SM-GE4R1_S273_E1-50,SM-GE4R1_S273_E1-50
SM-GE4R1_S274_E1-50,SM-GE4R1_S274_E1-50
SM-GE4R1_S275_E1-50,SM-GE4R1_S275_E1-50
SM-GE4R1_S276_E1-50,SM-GE4R1_S276_E1-50
SM-GE4R1_S277_E1-50,SM-GE4R1_S277_E1-50
SM-GE4R1_S278_E1-50,SM-GE4R1_S278_E1-50
SM-GE4R1_S279_E1-50,SM-GE4R1_S279_E1-50
SM-GE4R1_S280_E1-50,SM-GE4R1_S280_E1-50
SM-GE4R1_S281_E1-50,SM-GE4R1_S281_E1-50
SM-GE4R1_S282_E1-50,SM-GE4R1_S282_E1-50
SM-GE4R1_S283_E1-50,SM-GE4R1_S283_E1-50
SM-GE4R1_S284_E1-50,SM-GE4R1_S284_E1-50
SM-GE4R1_S285_E1-50,SM-GE4R1_S285_E1-50
SM-GE4R1_S286_E1-50,SM-GE4R1_S286_E1-50
SM-GE4R1_S287_E1-50,SM-GE4R1_S287_E1-50
SM-GE4R1_S288_E1-50,SM-GE4R1_S288_E1-50
SM-GE4R1_S345_E1-50,SM-GE4R1_S345_E1-50
SM-GE4R1_S346_E1-50,SM-GE4R1_S346_E1-50
SM-GE4R1_S347_E1-50,SM-GE4R1_S347_E1-50
SM-GE4R1_S348_E1-50,SM-GE4R1_S348_E1-50
SM-GE4R1_S349_E1-50,SM-GE4R1_S349_E1-50
SM-GE4R1_S350_E1-50,SM-GE4R1_S350_E1-50
SM-GE4R1_S351_E1-50,SM-GE4R1_S351_E1-50
SM-GE4R1_S352_E1-50,SM-GE4R1_S352_E1-50
SM-GE4R1_S353_E1-50,SM-GE4R1_S353_E1-50
SM-GE4R1_S354_E1-50,SM-GE4R1_S354_E1-50
SM-GE4R1_S355_E1-50,SM-GE4R1_S355_E1-50
SM-GE4R1_S356_E1-50,SM-GE4R1_S356_E1-50
SM-GE4R1_S357_E1-50,SM-GE4R1_S357_E1-50
SM-GE4R1_S358_E1-50,SM-GE4R1_S358_E1-50
SM-GE4R1_S359_E1-50,SM-GE4R1_S359_E1-50
SM-GE4R1_S360_E1-50,SM-GE4R1_S360_E1-50
SM-GE4R1_S361_E1-50,SM-GE4R1_S361_E1-50
SM-GE4R1_S362_E1-50,SM-GE4R1_S362_E1-50
SM-GE4R1_S363_E1-50,SM-GE4R1_S363_E1-50
SM-GE4R1_S364_E1-50,SM-GE4R1_S364_E1-50
SM-GE4R1_S365_E1-50,SM-GE4R1_S365_E1-50
SM-GE4R1_S366_E1-50,SM-GE4R1_S366_E1-50
SM-GE4R1_S367_E1-50,SM-GE4R1_S367_E1-50
SM-GE4R1_S368_E1-50,SM-GE4R1_S368_E1-50
SM-GE4R1_S369_E1-50,SM-GE4R1_S369_E1-50
SM-GE4R1_S370_E1-50,SM-GE4R1_S370_E1-50
SM-GE4R1_S371_E1-50,SM-GE4R1_S371_E1-50
SM-GE4R1_S372_E1-50,SM-GE4R1_S372_E1-50
SM-GE4R1_S374_E1-50,SM-GE4R1_S374_E1-50
SM-GE4R1_S375_E1-50,SM-GE4R1_S375_E1-50
SM-GE4R1_S376_E1-50,SM-GE4R1_S376_E1-50
